# -------------------------- LINEARLY SEPARABLE DATA -------------------------- #

param m := 1400;
param m_test := 600;
param n := 4;
param nu := 2;

param A_train: 1 2 3 4 :=
1	0.356	0.336	0.431	0.783
2	0.65	0.172	0.743	0.633
3	0.564	0.066	0.91	0.449
4	0.481	0.593	0.475	0.055
5	0.798	0.15	0.19	0.098
6	0.115	0.885	0.843	0.59
7	0.73	0.947	0.386	0.161
8	0.045	0.811	0.901	0.788
9	0.371	0.352	0.51	0.281
10	0.056	0.762	0.394	0.532
11	0.83	0.33	0.967	0.019
12	0.334	0.134	0.313	0.176
13	0.363	0.906	0.671	0.749
14	0.4	0.794	0.879	0.301
15	0.323	0.672	0.933	0.834
16	0.734	0.89	0.714	0.128
17	0.532	0.958	0.751	0.499
18	0.179	0.833	0.111	0.492
19	0.836	0.854	0.915	0.506
20	0.983	0.906	0.397	0.862
21	0.979	0.185	0.879	0.912
22	0.831	0.646	0.909	0.546
23	0.33	0.077	0.733	0.082
24	0.71	0.261	0.409	0.822
25	0.418	0.657	0.607	0.333
26	0.21	0.316	0.069	0.607
27	0.277	0.585	0.363	0.156
28	0.382	0.987	0.144	0.29
29	0.919	0.621	0.61	0.652
30	0.187	0.362	0.963	0.596
31	0.716	0.014	0.841	0.322
32	0.004	0.532	0.663	0.073
33	0.841	0.35	0.724	0.204
34	0.222	0.586	0.493	0.366
35	0.025	0.285	0.497	0.635
36	0.199	0.822	0.299	0.162
37	0.482	0.878	0.432	0.323
38	0.779	0.327	0.732	0.442
39	0.871	0.284	0.75	0.595
40	0.256	0.816	0.074	0.748
41	0.95	0.774	0.467	0.447
42	0.404	0.646	0.231	0.702
43	0.649	0.184	0.687	0.081
44	0.887	0.86	0.834	0.619
45	0.234	0.49	0.586	0.984
46	0.074	0.24	0.901	0.149
47	0.084	0.099	0.762	0.551
48	0.171	0.955	0.193	0.402
49	0.002	0.052	0.841	0.689
50	0.348	0.576	0.992	0.182
51	0.295	0.416	0.686	0.881
